Data;^BVSP;ALPA4
2017-05-30;63962.000000;9.102427
2017-05-29;63761.000000;9.064501
2017-05-26;64085.000000;9.064501
2017-05-25;63227.000000;9.170696
2017-05-24;63257.000000;8.814183
2017-05-23;62662.000000;8.381819
2017-05-22;61673.000000;8.070819
2017-05-19;62639.000000;8.518355
2017-05-18;61597.000000;8.268039
2017-05-17;67540.000000;9.292062
2017-05-16;68684.000000;9.208623
2017-05-15;68474.000000;9.299647
2017-05-12;68222.000000;9.593083
2017-05-11;67538.000000;9.630704
2017-05-10;67350.000000;9.788708
2017-05-09;66278.000000;9.487747
2017-05-08;65526.000000;9.404983
2017-05-05;65710.000000;9.420031
2017-05-04;64863.000000;9.630704
2017-05-03;66094.000000;9.931664
2017-05-02;66722.000000;9.758612
2017-04-28;65403.000000;10.006904
2017-04-27;64677.000000;9.660800
2017-04-26;64862.000000;9.517843
2017-04-25;65148.000000;9.427556
2017-04-24;64389.000000;8.923448
2017-04-20;63761.000000;8.915925
2017-04-19;63407.000000;9.028785
2017-04-18;64159.000000;8.893353
2017-04-17;64335.000000;9.028785
2017-04-13;62826.000000;8.803065
2017-04-12;63892.000000;8.930973
2017-04-11;64360.000000;8.923448
2017-04-10;64650.000000;8.953546
2017-04-07;64593.000000;8.878304
2017-04-06;64223.000000;8.810589
2017-04-05;64775.000000;9.051356
2017-04-04;65769.000000;9.329744
2017-04-03;65211.000000;9.254503
2017-03-31;64984.000000;9.254503
2017-03-30;65266.000000;9.239456
2017-03-29;65528.000000;9.134121
2017-03-28;64640.000000;8.991164
2017-03-27;64308.000000;8.915925
2017-03-24;63854.000000;9.126596
2017-03-23;63531.000000;9.284598
2017-03-22;63521.000000;9.307172
2017-03-21;62980.000000;9.397458
2017-03-20;64884.000000;9.359840
2017-03-17;64210.000000;9.158006
2017-03-16;65783.000000;9.098344
2017-03-15;66235.000000;9.180377
2017-03-14;64699.000000;9.105802
2017-03-13;65534.000000;9.098344
2017-03-10;64675.000000;8.941734
2017-03-09;64585.000000;8.800037
2017-03-08;64718.000000;8.874615
2017-03-07;65742.000000;8.979022
2017-03-06;66341.000000;9.061056
2017-03-03;66786.000000;8.882071
2017-03-02;65855.000000;8.755293
2017-03-01;66989.000000;8.949191
2017-02-24;66662.000000;8.814954
2017-02-23;67461.000000;9.172920
2017-02-22;68590.000000;9.075971
2017-02-21;69052.000000;9.172920
2017-02-20;68533.000000;9.023767
2017-02-17;67748.000000;8.919360
2017-02-16;67814.000000;8.859698
2017-02-15;67976.000000;8.643427
2017-02-14;66713.000000;8.203425
2017-02-13;66968.000000;8.128850
2017-02-10;66125.000000;7.741050
2017-02-09;64965.000000;7.718677
2017-02-08;64835.000000;7.793253
2017-02-07;64199.000000;7.651558
2017-02-06;63993.000000;7.584440
2017-02-03;64954.000000;7.688847
2017-02-02;64578.000000;7.532235
2017-02-01;64836.000000;7.629186
2017-01-31;64671.000000;7.748508
2017-01-30;64302.000000;7.755966
2017-01-27;66034.000000;7.785796
2017-01-26;66191.000000;7.942407
2017-01-24;65840.000000;7.517320
2017-01-23;65749.000000;7.345794
2017-01-20;64521.000000;7.412914
2017-01-19;63951.000000;7.353252
2017-01-18;64150.000000;7.457659
2017-01-17;64354.000000;7.517320
2017-01-16;63831.000000;7.599355
2017-01-13;63652.000000;7.517320
2017-01-12;63954.000000;7.606812
2017-01-11;62446.000000;7.569524
2017-01-10;62132.000000;7.591897
2017-01-09;61700.000000;7.517320
2017-01-06;61665.000000;7.480032
2017-01-05;62071.000000;7.450202
2017-01-04;61589.000000;7.524778
2017-01-03;61814.000000;7.383082
2017-01-02;59589.000000;7.338337
2016-12-29;60227.000000;7.465117
2016-12-28;59782.000000;7.726135
2016-12-27;58697.000000;7.450202
2016-12-26;58620.000000;7.457659
2016-12-23;57937.000000;7.532235
2016-12-22;57255.000000;7.606812
2016-12-21;57647.000000;7.584440
2016-12-20;57583.000000;7.487489
